"Bureau of Justice Statistics",,,
"Filename: sdna0104.csv",,,
"Table 4.  DNA crime laboratory  accrediting organizations, 2001",,,
"Title of Report:  Survey of DNA Crime Laboratories, 2001, NCJ-191191",,,
"Data source:  National Survey of DNA Laboratories, 2001",,,
"Author:  Greg Steadman",,,
"Refer questions to: (202) 307-0765 or askbjs@ojp.usdoj.gov",,,
"Date version:  01/31/02",,,
,,,
"Table 4.  DNA crime laboratory  accrediting organizations, 2001",,,
,,,
,"Accredited laboratories",,
,"Number","Percent",
"    Total",69,100,"%"
,,,
"ASCLD-LAB",60,87,"%"
"NFSTC",8,12,
"Other",8,12,
,,,
"Note:  Details do not add to total due  to multiple responses. ",,,
"ASCLD-LAB  -- American Society of Crime, Lab Directors -- Laboratory Accreditation Board,  ",,,
"NFSTC --  National Forensic Science Technology Center .",,,
