"Bureau of Justice Statistics",,,
"Filename: sdna0103.csv",,,
"Table 3.  Status of DNA crime  laboratory accreditation, 2001",,,
"Title of Report:  Survey of DNA Crime Laboratories, 2001, NCJ-191191",,,
"Data source:  National Survey of DNA Laboratories, 2001",,,
"Author:  Greg Steadman",,,
"Refer questions to: (202) 307-0765 or askbjs@ojp.usdoj.gov",,,
"Date version:  01/31/02",,,
,,,
"Table 3.  Status of DNA crime  laboratory accreditation, 2001",,,
,,,
,"Labs performing  DNA analyses",,
,"Number","  Percent",
"    Total",110,100,"%"
,,,
"Laboratory accredited",69,63,"%"
"Applied for accreditation",15,14,
"Pre-accreditation inspection"," 6"," 5",
"None",20,18,
,,,
"Note:  Though some multiple responses were received only the ",,,
"most advanced level of accreditation process is reported for each laboratory.",,,
