"Bureau of Justice Statistics",,
"filename:  sdna9812.csv",,
"Table 12.  Forensic laboratory policies for acceptance of DNA submissions, 1998",,
"title:  Survey of DNA Crime Laboratories, 1998 NCJ # 179104",,
"data source:  Survey of DNA Crime Laboratories, 1998 ",,
"author:  Greg W. Steadman",,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,
"date of version:  2/14/00",,
,,
"Table 12.  Forensic laboratory policies for acceptance of DNA submissions, 1998",,
,,
,"Labs receiving",
,"DNA cases/samples",
"Policies","Number","Percent"
,,
"Had an acceptance policy",,
"for DNA submissions",72,69%
,,
"Types of cases accepted",,
"    All criminal",69,66%
"    Known subject",,
"        All",16,15%
"        Certain",31,30%
"    Unknown subject",,
"        All",21,20%
"        Certain",30,29%
,,
"Note: Multiple responses reported.",,
