,Number,ratings2,ratings1,counts2,counts1,dev2,dev1,Text,length,word_leng,group
0,1,,0.9019966275293564,0,32024.0,,5.2429975193315475,"A man visits the doctor. The doctor says, I have bad news for you. You have cancer and Alzheimers disease. The man replies, Well, thank God I dont have cancer!",30,short,9
1,2,,0.16298919976188292,0,35277.0,,5.6279718210458265,"This couple had an excellent relationship going until one day he came home from work to find his girlfriend packing. He asked her why she was leaving him and she told him that she had heard awful things about him. What could they possibly have said to make you move out?They told me that you were a pedophile.He replied, Thats an awfully big word for a ten year old.",69,medium,7
2,3,,0.1934109005616924,0,32402.0,,5.448998092998552,Q. Whats 200 feet long and has 4 teeth?A. The front row at a Willie Nelson concert.,17,short,3
3,4,,-1.4125989774514858,0,30512.0,,5.276202175800653,Q. Whats the difference between a man and a toilet? A. A toilet doesnt follow you around after you use it.,21,short,3
4,5,-2.034617932862191,0.23535236019345085,566,73405.0,5.4232888282792855,5.3029020032201055,"Q. Whats O. J. Simpsons web address?A. Slash, slash, backslash, slash, slash, escape.",13,very short,3
5,6,,1.3302770271976525,0,39599.0,,4.976993871798986,"Bill and Hillary Clinton are on a trip back to Arkansas. Theyre almost out of gas, so Bill pulls into a service station on the outskirts of town. The attendant runs out of the station to serve them when Hillary realizes its an old boyfriend from high school. She and the attendant chat as he gases up their car and cleans the windows. Then they all say goodbye.As Bill pulls the car onto the road, he turns to Hillary and says, Now arent you glad you married me and not him? You couldve been the wife of a grease monkey!To which Hillary replied, No, Bill. If I would have married him, youd be pumping gas and he would be the President!",121,long,2
6,7,-1.9525103813224969,-0.6339466764757969,50692,73401.0,5.370893270191072,5.610901853551005,How many feminists does it take to screw in a light bulb?Thats not funny.,14,very short,4
7,8,-0.7164998915016176,-0.9962671806677414,50692,73411.0,5.153370764282953,4.968263210319047,Q. Did you hear about the dyslexic devil worshiper?A. He sold his soul to Santa.,15,short,7
8,9,,-0.6200393611138223,0,30741.0,,5.201667237015939,"A country guy goes into a city bar that has a dress code, and the maitre d demands he wear a tie. Discouraged, the guy goes to his car to sulk when inspiration strikes: Hes got jumper cables in the trunk! So he wraps them around his neck, sort of like a string tie (a bulky string tie to be sure) and returns to the bar. The maitre d is reluctant, but says to the guy, Okay, youre a pretty resourceful fellow, you can come in. but just dont start anything!",91,long,7
9,10,,1.1817056312258485,0,39352.0,,5.183989074413843,Two cannibals are eating a clown. One turns to the other and says:br />Does this taste funny to you?,19,short,2
10,11,,1.728665323242042,0,42677.0,,4.942994839596068,"Q. What do a hurricane, a tornado, and a redneck divorce all have in common?A. Someones going to lose a trailer.",21,short,0
11,12,,1.5043600220365407,0,43564.0,,4.843208640170552,"A guy stood over his tee shot for what seemed an eternity, looking up, looking down, measuring the distance, figuring the wind direction and speed, and driving his partner nuts.Finally his exasperated partner says, What the hell is taking so long? Hit the goddamn ball! The guy answers, My wife is up there watching me from the clubhouse. I want to make this a perfect shot. Well, hell, man, you dont stand a snowballs chance in hell of hitting her from here!",82,long,7
12,13,-0.6492629507614613,-1.9448586608541392,50692,73405.0,5.4278010349176276,5.137793499735258,"They asked the Japanese visitor if they have elections in his country.Every morning, he answers.",15,short,5
13,14,,1.3202849723228312,0,43899.0,,5.13687232701886,"The father was very anxious to marry off his only daughter so he wanted to impress her date. Do you like to screw? he asks. Huh? replied the surprised first date. My daughter, she loves to screw and shes good at it:you and her should go screw, the father carefully explained. Now very interested, the boy replied, Yes, sir. Minutes later the girl came down the stairs, kissed her father goodbye and the couple left. After only a few minutes she reappeared, furious, dress torn, hair a mess and screamed, Dammit, Daddy, its the TWIST, get it straight!",98,long,6
14,15,-1.4306830959520245,-2.112506062174747,50692,73406.0,5.337914829528826,5.123141391827446,Q:What did the blind person say when given some matzah?A:Who the hell wrote this?,14,very short,7
15,16,-1.6304464955022488,-3.103138326135258,50692,73399.0,5.417196000235782,5.028330375222494,Q. What is orange and sounds like a parrot?A. A carrot.,11,very short,7
