year,rgb,frequency this year,other year appearances
1950,C91A09,8,
1950,F2CD37,8,
1950,FFFFFF,8,
1950,0055BF,6,
1950,237841,6,
1950,4B9F4A,2,
1950,5A93DB,2,
1950,C2DAB8,2,
1950,FCFCFC,2,
1950,FFA70B,2,
1954,9BA19D,1,
1955,05131D,1,
1956,4C61DB,6,
1957,A5A9B4,1,
1969,84B68D,1,
1969,F5CD2F,1,
1974,583927,6,
1974,3592C3,3,8
1977,E0E0E0,1,
1978,0020A0,14,
1978,6D6E5C,8,
1979,0033B2,2,
1982,FA9C1C,12,
1982,B67B50,4,7
1982,E4CD9E,3,
1982,BBE90B,2,
1985,AEEFEC,14,
1988,F8F184,1,
1989,BBA53D,28,
1990,D4D5C9,2,
1991,FC97AC,3,
1993,FF800D,73,
1993,F785B1,6,0
1993,FE8A18,4,
1993,582A12,1,
1993,9FC3E9,1,
1994,C870A0,38,
1994,C9CAE2,17,9
1994,73DCA1,14,10
1994,FBE696,11,
1994,FECCCF,1,8
1995,B4D2E3,1,10
1996,81007B,1,
1997,FEBABD,4,2
1997,B31004,2,2
1997,F2705E,2,1
1997,DBAC34,1,
1998,008F9B,110,9
1998,6C96BF,6,5
1998,A0A5A9,1,
1998,A95500,1,
1999,635F52,7,
1999,DF6695,6,
1999,4354A3,4,5
1999,3CB371,2,0
1999,C7D23C,2,5
1999,55A5AF,1,4
1999,939100,1,1
2000,A0BCAC,37,
2000,898788,31,
2000,A5A5CB,3,
2000,DCBC81,3,5
2000,B3D7D1,1,9
2000,F3CF9B,1,1
2001,6074A1,69,
2001,D67572,21,3
2001,845000,15,1
2001,899B5F,13,1
2001,720E0F,12,
2001,CFE2F7,10,
2001,645A4C,5,4
2001,DAB000,5,2
2001,0A3463,4,
2001,9CA3A8,3,
2001,AE7A59,2,10
2001,AA4D8E,1,6
2002,575857,31,
2002,7988A1,22,1
2002,F9BA61,5,3
2002,923978,4,
2002,958A73,4,
2002,AA7F2E,1,
2002,ABADAC,1,1
2002,D09168,1,
2003,6C6E68,208,
2003,E4ADC8,15,
2003,D9E4A7,11,
2003,F6D7B3,11,
2003,B48455,9,4
2003,C1DFF0,9,3
2003,F2F3F2,9,2
2003,F08F1C,4,
2003,184632,2,
2003,7DBFDD,1,1
2003,E6E3DA,1,1
2004,3F3691,91,0
2004,6874CA,42,0
2004,7C503A,26,5
2004,E6E3E0,17,6
2004,FFF03A,6,
2004,CD6298,4,2
2004,F8BB3D,2,
2005,3F3691,36,
2005,6874CA,25,0
2005,96709F,15,1
2005,BDC6AD,8,5
2005,2032B0,3,1
2005,D9D9D9,2,6
2005,AC78BA,1,6
2005,B4D4F7,1,0
2006,635F61,8,0
2008,352100,54,9
2009,1B2A34,3,0
2010,CC702A,51,7
2010,36AEBF,1,6
2011,ADC3C0,40,6
2011,078BC9,32,6
2011,E1D5ED,1,6
2012,9B9A5A,50,0
2012,DFEEA5,3,4
2013,9B9A5A,208,4
2015,C0F500,4,1
2015,68BCC5,3,2
2017,8E5597,3,
2017,FBE890,3,
2017,FCB76D,3,
