year,rgb,rgb
1950,C91A09,8
1950,F2CD37,8
1950,FFFFFF,8
1950,0055BF,6
1950,237841,6
1950,4B9F4A,2
1950,5A93DB,2
1950,C2DAB8,2
1950,FCFCFC,2
1950,FFA70B,2
1953,FFFFFF,6
1953,C91A09,5
1953,237841,3
1953,F2CD37,3
1953,0055BF,1
1954,C91A09,35
1954,FFFFFF,28
1954,F2CD37,16
1954,0055BF,13
1954,237841,4
1954,9BA19D,1
1954,FCFCFC,1
1955,FFFFFF,93
1955,C91A09,53
1955,F2CD37,19
1955,0055BF,18
1955,237841,6
1955,FCFCFC,3
1955,05131D,1
1956,FFFFFF,52
1956,C91A09,20
1956,4C61DB,6
1956,FCFCFC,4
1956,05131D,1
1957,FFFFFF,74
1957,C91A09,53
1957,0055BF,14
1957,FCFCFC,11
1957,237841,4
1957,4C61DB,3
1957,05131D,2
1957,9BA19D,1
1957,A5A9B4,1
1957,F2CD37,1
1958,FFFFFF,181
1958,C91A09,56
1958,0055BF,26
1958,FCFCFC,16
1958,05131D,14
1958,F2CD37,12
1958,237841,8
1958,4C61DB,6
1958,A5A9B4,3
1959,C91A09,7
1959,0055BF,5
1959,F2CD37,3
1959,4C61DB,1
1959,9BA19D,1
1959,FCFCFC,1
1959,FFFFFF,1
1960,FFFFFF,28
1960,0055BF,11
1960,C91A09,10
1960,05131D,7
1960,F2CD37,7
1960,FCFCFC,6
1960,237841,1
1961,FFFFFF,63
1961,C91A09,41
1961,0055BF,20
1961,FCFCFC,10
1961,237841,7
1961,F2CD37,7
1961,4C61DB,5
1961,05131D,2
1961,9BA19D,1
1961,A5A9B4,1
1962,FCFCFC,43
1962,FFFFFF,42
1962,9BA19D,38
1962,C91A09,33
1962,0055BF,15
1962,237841,12
1962,05131D,11
1962,F2CD37,11
1962,4C61DB,6
1962,A5A9B4,1
1963,FFFFFF,48
1963,C91A09,32
1963,0055BF,20
1963,05131D,12
1963,9BA19D,11
1963,FCFCFC,7
1964,C91A09,55
1964,FFFFFF,35
1964,0055BF,29
1964,05131D,14
1964,9BA19D,12
1964,FCFCFC,7
1964,F2CD37,6
1964,237841,4
1965,FFFFFF,49
1965,C91A09,44
1965,05131D,32
1965,0055BF,31
1965,FCFCFC,23
1965,F2CD37,19
1965,9BA19D,15
1966,FFFFFF,253
1966,C91A09,154
1966,0055BF,131
1966,9BA19D,48
1966,F2CD37,40
1966,FCFCFC,35
1966,05131D,29
1966,237841,13
1966,4C61DB,1
1967,C91A09,138
1967,0055BF,79
1967,05131D,68
1967,FFFFFF,55
1967,F2CD37,51
1967,9BA19D,50
1967,FCFCFC,31
1967,237841,7
1968,C91A09,189
1968,FFFFFF,113
1968,05131D,101
1968,F2CD37,58
1968,0055BF,56
1968,9BA19D,40
1968,FCFCFC,38
1968,237841,7
1969,C91A09,257
1969,FFFFFF,222
1969,05131D,194
1969,0055BF,123
1969,F2CD37,66
1969,9BA19D,64
1969,FCFCFC,47
1969,237841,15
1969,4C61DB,1
1969,84B68D,1
1969,F5CD2F,1
1970,C91A09,162
1970,FFFFFF,116
1970,05131D,101
1970,F2CD37,63
1970,0055BF,37
1970,FCFCFC,35
1970,9BA19D,32
1970,237841,20
1970,A5A9B4,3
1971,C91A09,269
1971,05131D,178
1971,FFFFFF,172
1971,F2CD37,127
1971,0055BF,102
1971,FCFCFC,66
1971,9BA19D,25
1971,237841,17
1972,C91A09,242
1972,05131D,217
1972,0055BF,119
1972,F2CD37,119
1972,FFFFFF,106
1972,FCFCFC,48
1972,9BA19D,22
1972,237841,11
1972,4C61DB,2
1973,C91A09,433
1973,FFFFFF,298
1973,05131D,283
1973,0055BF,272
1973,F2CD37,207
1973,FCFCFC,94
1973,237841,27
1973,9BA19D,23
1974,C91A09,330
1974,05131D,217
1974,FFFFFF,196
1974,0055BF,154
1974,F2CD37,143
1974,FCFCFC,57
1974,9BA19D,37
1974,237841,9
1974,583927,6
1974,3592C3,3
1974,A5A9B4,3
1975,C91A09,336
1975,05131D,302
1975,F2CD37,197
1975,0055BF,193
1975,FFFFFF,143
1975,FCFCFC,49
1975,9BA19D,37
1975,237841,10
1975,583927,3
1975,4C61DB,2
1976,05131D,672
1976,C91A09,600
1976,FFFFFF,460
1976,F2CD37,419
1976,0055BF,407
1976,FCFCFC,107
1976,9BA19D,87
1976,237841,34
1976,583927,8
1976,4C61DB,1
1977,05131D,477
1977,C91A09,465
1977,F2CD37,409
1977,0055BF,380
1977,FFFFFF,229
1977,9BA19D,179
1977,FCFCFC,78
1977,237841,19
1977,583927,5
1977,E0E0E0,1
1978,C91A09,632
1978,05131D,564
1978,F2CD37,447
1978,FFFFFF,444
1978,9BA19D,316
1978,0055BF,260
1978,FCFCFC,103
1978,237841,35
1978,583927,19
1978,0020A0,14
1978,6D6E5C,8
1978,84B68D,6
1978,F5CD2F,3
1979,9BA19D,653
1979,0055BF,460
1979,F2CD37,418
1979,05131D,403
1979,C91A09,403
1979,FFFFFF,345
1979,FCFCFC,45
1979,F5CD2F,36
1979,237841,24
1979,84B68D,23
1979,583927,19
1979,6D6E5C,7
1979,0020A0,5
1979,0033B2,2
1980,05131D,803
1980,C91A09,585
1980,9BA19D,556
1980,0055BF,376
1980,F2CD37,356
1980,FFFFFF,247
1980,FCFCFC,61
1980,6D6E5C,32
1980,F5CD2F,32
1980,237841,22
1980,3592C3,22
1980,583927,10
1980,84B68D,9
1980,0020A0,6
1980,4C61DB,1
1981,C91A09,475
1981,05131D,428
1981,FFFFFF,324
1981,9BA19D,300
1981,F2CD37,262
1981,0055BF,194
1981,FCFCFC,48
1981,237841,41
1981,0020A0,15
1981,F5CD2F,14
1981,583927,9
1981,6D6E5C,9
1981,84B68D,8
1981,4C61DB,1
1982,C91A09,370
1982,05131D,315
1982,F2CD37,289
1982,9BA19D,259
1982,FFFFFF,250
1982,0055BF,215
1982,237841,25
1982,FCFCFC,24
1982,F5CD2F,18
1982,583927,12
1982,FA9C1C,12
1982,84B68D,7
1982,0033B2,6
1982,6D6E5C,5
1982,B67B50,4
1982,0020A0,3
1982,E4CD9E,3
1982,BBE90B,2
1983,05131D,548
1983,C91A09,395
1983,9BA19D,357
1983,FFFFFF,341
1983,0055BF,244
1983,F2CD37,242
1983,FCFCFC,54
1983,237841,20
1983,6D6E5C,14
1983,F5CD2F,14
1983,0020A0,10
1983,583927,9
1983,84B68D,5
1983,B67B50,2
1983,FA9C1C,2
1983,0033B2,1
1984,05131D,599
1984,9BA19D,398
1984,C91A09,390
1984,0055BF,361
1984,F2CD37,276
1984,FFFFFF,266
1984,FCFCFC,39
1984,583927,35
1984,F5CD2F,34
1984,237841,31
1984,6D6E5C,30
1984,84B68D,6
1984,B67B50,4
1984,0020A0,2
1984,FA9C1C,1
1985,C91A09,1064
1985,05131D,1051
1985,0055BF,657
1985,FFFFFF,602
1985,F2CD37,600
1985,9BA19D,591
1985,FCFCFC,118
1985,237841,86
1985,583927,40
1985,F5CD2F,38
1985,3592C3,22
1985,84B68D,22
1985,6D6E5C,17
1985,AEEFEC,14
1985,0020A0,10
1985,B67B50,6
1985,FA9C1C,2
1985,0033B2,1
1985,4C61DB,1
1985,BBE90B,1
1986,05131D,1077
1986,FFFFFF,856
1986,9BA19D,752
1986,C91A09,752
1986,0055BF,565
1986,F2CD37,487
1986,FCFCFC,69
1986,F5CD2F,62
1986,237841,54
1986,583927,37
1986,84B68D,19
1986,6D6E5C,15
1986,0020A0,12
1986,AEEFEC,10
1986,0033B2,2
1986,B67B50,2
1986,FA9C1C,1
1987,05131D,1104
1987,FFFFFF,920
1987,C91A09,881
1987,F2CD37,551
1987,0055BF,473
1987,9BA19D,386
1987,237841,86
1987,FCFCFC,86
1987,583927,41
1987,F5CD2F,38
1987,0020A0,31
1987,6D6E5C,22
1987,84B68D,21
1987,AEEFEC,17
1987,B67B50,9
1987,0033B2,2
1987,FA9C1C,2
1988,05131D,1003
1988,FFFFFF,703
1988,C91A09,473
1988,F2CD37,406
1988,9BA19D,325
1988,0055BF,223
1988,583927,47
1988,237841,46
1988,0020A0,40
1988,FCFCFC,40
1988,F5CD2F,36
1988,AEEFEC,21
1988,6D6E5C,18
1988,84B68D,11
1988,B67B50,2
1988,0033B2,1
1988,5A93DB,1
1988,F8F184,1
1989,05131D,1131
1989,FFFFFF,678
1989,C91A09,551
1989,F2CD37,520
1989,9BA19D,464
1989,0055BF,425
1989,583927,143
1989,237841,67
1989,FCFCFC,57
1989,6D6E5C,52
1989,F5CD2F,32
1989,AEEFEC,31
1989,BBA53D,28
1989,0020A0,18
1989,84B68D,8
1989,4C61DB,2
1989,0033B2,1
1990,05131D,1132
1990,C91A09,1069
1990,FFFFFF,811
1990,9BA19D,607
1990,F2CD37,471
1990,0055BF,413
1990,237841,96
1990,FCFCFC,76
1990,AEEFEC,59
1990,583927,58
1990,6D6E5C,51
1990,F8F184,44
1990,F5CD2F,37
1990,0020A0,15
1990,84B68D,12
1990,4C61DB,4
1990,BBA53D,4
1990,D4D5C9,2
1991,05131D,1529
1991,FFFFFF,1119
1991,C91A09,928
1991,9BA19D,739
1991,F2CD37,595
1991,0055BF,297
1991,FCFCFC,84
1991,6D6E5C,72
1991,AEEFEC,70
1991,F8F184,61
1991,F5CD2F,57
1991,583927,56
1991,237841,34
1991,0020A0,25
1991,84B68D,23
1991,BBA53D,12
1991,FC97AC,3
1991,4C61DB,2
1991,5A93DB,1
1992,05131D,1171
1992,FFFFFF,819
1992,9BA19D,701
1992,C91A09,556
1992,F2CD37,436
1992,0055BF,205
