,year,rgb,frequency this year,other year appearances,id,name,is_trans
0,1950,C91A09,8,,4.0,Red,f
1,1950,C91A09,8,,36.0,Trans-Red,t
2,1950,F2CD37,8,,14.0,Yellow,f
3,1950,FFFFFF,8,,15.0,White,f
4,1950,FFFFFF,8,,79.0,Milky White,f
5,1950,FFFFFF,8,,117.0,Glitter Trans-Clear,t
6,1950,0055BF,6,,1.0,Blue,f
7,1950,237841,6,,2.0,Green,f
8,1950,4B9F4A,2,,10.0,Bright Green,f
9,1950,5A93DB,2,,73.0,Medium Blue,f
10,1950,C2DAB8,2,,17.0,Light Green,f
11,1950,FCFCFC,2,,47.0,Trans-Clear,t
12,1950,FFA70B,2,,462.0,Medium Orange,f
13,1954,9BA19D,1,,7.0,Light Gray,f
14,1955,05131D,1,,0.0,Black,f
15,1955,05131D,1,,9999.0,[No Color],f
16,1956,4C61DB,6,,89.0,Royal Blue,f
17,1957,A5A9B4,1,,80.0,Metallic Silver,f
18,1969,84B68D,1,,34.0,Trans-Green,t
19,1969,F5CD2F,1,,46.0,Trans-Yellow,t
20,1974,583927,6,,6.0,Brown,f
21,1974,3592C3,3,8.0,313.0,Maersk Blue,f
22,1977,E0E0E0,1,,383.0,Chrome Silver,f
23,1978,0020A0,14,,33.0,Trans-Dark Blue,t
24,1978,6D6E5C,8,,8.0,Dark Gray,f
25,1979,0033B2,2,,-1.0,Unknown,f
26,1982,FA9C1C,12,,366.0,Earth Orange,f
27,1982,B67B50,4,7.0,450.0,Fabuland Brown,f
28,1982,E4CD9E,3,,19.0,Tan,f
29,1982,BBE90B,2,,27.0,Lime,f
30,1985,AEEFEC,14,,41.0,Trans-Light Blue,t
31,1988,F8F184,1,,42.0,Trans-Neon Green,t
32,1989,BBA53D,28,,334.0,Chrome Gold,f
33,1990,D4D5C9,2,,21.0,Glow In Dark Opaque,f
34,1991,FC97AC,3,,13.0,Pink,f
35,1993,FF800D,73,,57.0,Trans-Neon Orange,t
36,1993,F785B1,6,0.0,351.0,Medium Dark Pink,f
37,1993,FE8A18,4,,25.0,Orange,f
38,1993,582A12,1,,70.0,Reddish Brown,f
39,1993,9FC3E9,1,,212.0,Bright Light Blue,f
40,1994,C870A0,38,,5.0,Dark Pink,f
41,1994,C9CAE2,17,9.0,20.0,Light Violet,f
42,1994,73DCA1,14,10.0,74.0,Medium Green,f
43,1994,FBE696,11,,18.0,Light Yellow,f
44,1994,FECCCF,1,8.0,77.0,Light Pink,f
45,1995,B4D2E3,1,10.0,9.0,Light Blue,f
46,1996,81007B,1,,22.0,Purple,f
47,1997,FEBABD,4,2.0,100.0,Light Salmon,f
48,1997,B31004,2,2.0,216.0,Rust,f
49,1997,F2705E,2,1.0,12.0,Salmon,f
50,1997,DBAC34,1,,82.0,Metallic Gold,f
51,1998,008F9B,110,9.0,3.0,Dark Turquoise,f
52,1998,6C96BF,6,5.0,61.0,Chrome Blue,f
53,1998,A0A5A9,1,,71.0,Light Bluish Gray,f
54,1998,A95500,1,,484.0,Dark Orange,f
55,1999,635F52,7,,32.0,Trans-Black IR Lens,t
56,1999,635F52,7,,40.0,Trans-Black,t
57,1999,DF6695,6,,45.0,Trans-Dark Pink,t
58,1999,DF6695,6,,114.0,Glitter Trans-Dark Pink,t
59,1999,4354A3,4,5.0,110.0,Violet,f
60,1999,3CB371,2,0.0,62.0,Chrome Green,f
61,1999,C7D23C,2,5.0,115.0,Medium Lime,f
62,1999,55A5AF,1,4.0,11.0,Light Turquoise,f
63,1999,939100,1,1.0,,,
64,2000,A0BCAC,37,,378.0,Sand Green,f
65,2000,898788,31,,179.0,Flat Silver,f
66,2000,A5A5CB,3,,52.0,Trans-Purple,t
67,2000,A5A5CB,3,,129.0,Glitter Trans-Purple,t
68,2000,DCBC81,3,5.0,142.0,Pearl Light Gold,f
69,2000,B3D7D1,1,9.0,118.0,Aqua,f
70,2000,F3CF9B,1,1.0,68.0,Very Light Orange,f
71,2001,6074A1,69,,379.0,Sand Blue,f
72,2001,D67572,21,3.0,335.0,Sand Red,f
73,2001,845000,15,1.0,,,
74,2001,899B5F,13,1.0,81.0,Metallic Green,f
75,2001,720E0F,12,,320.0,Dark Red,f
76,2001,CFE2F7,10,,143.0,Trans-Medium Blue,t
77,2001,645A4C,5,4.0,60.0,Chrome Antique Brass,f
78,2001,DAB000,5,2.0,54.0,Trans-Neon Yellow,t
79,2001,0A3463,4,,272.0,Dark Blue,f
80,2001,9CA3A8,3,,135.0,Pearl Light Gray,f
81,2001,AE7A59,2,10.0,134.0,Copper,f
82,2001,AA4D8E,1,6.0,63.0,Chrome Pink,f
83,2002,575857,31,,148.0,Pearl Dark Gray,f
84,2002,7988A1,22,1.0,137.0,Metal Blue,f
85,2002,F9BA61,5,3.0,125.0,Light Orange,f
86,2002,923978,4,,26.0,Magenta,f
87,2002,958A73,4,,28.0,Dark Tan,f
88,2002,AA7F2E,1,,297.0,Pearl Gold,f
89,2002,ABADAC,1,1.0,150.0,Pearl Very Light Gray,f
90,2002,D09168,1,,92.0,Flesh,f
91,2003,6C6E68,208,,72.0,Dark Bluish Gray,f
92,2003,E4ADC8,15,,29.0,Bright Pink,f
93,2003,E4ADC8,15,,230.0,Trans-Pink,t
94,2003,D9E4A7,11,,35.0,Trans-Bright Green,t
95,2003,D9E4A7,11,,120.0,Light Lime,f
96,2003,F6D7B3,11,,78.0,Light Flesh,f
97,2003,B48455,9,4.0,178.0,Flat Dark Gold,f
98,2003,C1DFF0,9,3.0,43.0,Trans-Very Lt Blue,t
99,2003,F2F3F2,9,2.0,183.0,Pearl White,f
100,2003,F08F1C,4,,182.0,Trans-Orange,t
101,2003,184632,2,,288.0,Dark Green,f
102,2003,7DBFDD,1,1.0,232.0,Sky Blue,f
103,2003,E6E3DA,1,1.0,503.0,Very Light Gray,f
104,2004,3F3691,91,0.0,85.0,Dark Purple,f
105,2004,6874CA,42,0.0,112.0,Blue-Violet,f
106,2004,7C503A,26,5.0,86.0,Dark Flesh,f
107,2004,E6E3E0,17,6.0,151.0,Very Light Bluish Gray,f
108,2004,FFF03A,6,,226.0,Bright Light Yellow,f
109,2004,CD6298,4,2.0,69.0,Light Purple,f
110,2004,F8BB3D,2,,191.0,Bright Light Orange,f
111,2005,3F3691,36,,85.0,Dark Purple,f
112,2005,6874CA,25,0.0,112.0,Blue-Violet,f
113,2005,96709F,15,1.0,236.0,Trans-Light Purple,t
114,2005,BDC6AD,8,5.0,294.0,Glow In Dark Trans,t
115,2005,2032B0,3,1.0,23.0,Dark Blue-Violet,f
116,2005,D9D9D9,2,6.0,1000.0,Glow in Dark White,f
117,2005,AC78BA,1,6.0,30.0,Medium Lavender,f
118,2005,B4D4F7,1,0.0,1006.0,Trans Light Royal Blue,t
119,2006,635F61,8,0.0,76.0,Speckle DBGray-Silver,f
120,2008,352100,54,9.0,308.0,Dark Brown,f
121,2009,1B2A34,3,0.0,64.0,Chrome Black,f
122,2010,CC702A,51,7.0,84.0,Medium Dark Flesh,f
123,2010,36AEBF,1,6.0,322.0,Medium Azure,f
124,2011,ADC3C0,40,6.0,323.0,Light Aqua,f
125,2011,078BC9,32,6.0,321.0,Dark Azure,f
126,2011,E1D5ED,1,6.0,31.0,Lavender,f
127,2012,9B9A5A,50,0.0,326.0,Olive Green,f
128,2012,DFEEA5,3,4.0,158.0,Yellowish Green,f
129,2013,9B9A5A,208,4.0,326.0,Olive Green,f
130,2015,C0F500,4,1.0,1002.0,Glitter Trans-Neon Green,t
131,2015,68BCC5,3,2.0,1003.0,Glitter Trans-Light Blue,t
132,2017,8E5597,3,,1007.0,Reddish Lilac,f
133,2017,FBE890,3,,1005.0,Trans Fire Yellow,t
