abv,link
PH,<p>Grace Seton-Thompson's photographs from Philippines can be found <a href="http://www.travelwriting.amdigital.co.uk/contents/ImageViewerPage.aspx?documentid=1083&amp;sectionid=1084&amp;imageid=45507&amp;pi=1&amp;previous=9&amp;prevpos=1083&amp;vpath=search" target="_blank" rel="noopener noreferrer">here</a>.<p>Her short biography is posted <a href="http://www.travelwriting.amdigital.co.uk/Contents/Biographical.aspx?documentid=1083&amp;sectionid=1084&amp;imageid=45507&amp;pi=1&amp;previous=6&amp;prevpos=1083&amp;vpath=search&amp;searchmode=true" target="_blank" rel="noopener noreferrer">here</a>.

CN,<p>Ida Pruitt's sketches from China can be found <a href="http://www.travelwriting.amdigital.co.uk/contents/ImageViewerPage.aspx?imageid=42696&amp;pi=1&amp;previous=9&amp;prevpos=1021&amp;vpath=search" target="_blank" rel="noopener noreferrer">here</a>.<p>Her short biography is posted <a href="http://www.travelwriting.amdigital.co.uk/Contents/Biographical.aspx?documentid=1021&amp;sectionid=1022&amp;imageid=42696&amp;pi=1&amp;previous=9&amp;prevpos=1021&amp;vpath=search&amp;searchmode=true" target="_blank" rel="noopener noreferrer">here</a>.

FR,<p>Rowena Langer's photographs from France can be found <a href="http://www.travelwriting.amdigital.co.uk/Search/SearchDocumentDetails.aspx?documentid=965&amp;prevPos=965&amp;previous=9&amp;vpath=search&amp;pi=1" target="_blank" rel="noopener noreferrer">here</a>.<p> Her short biography is posted <a href="http://www.travelwriting.amdigital.co.uk/Contents/Biographical.aspx?documentid=965&amp;sectionid=966&amp;imageid=40456&amp;pi=1&amp;previous=9&amp;prevpos=965&amp;vpath=search&amp;searchmode=true" target="_blank" rel="noopener noreferrer">here</a>.

EG,"<p>Grace Seton-Thompson's dairies from Egypt can be found <a href=\"http:\/\/www.travelwriting.amdigital.co.uk\/contents\/ImageViewerPage.aspx?documentid=1077&amp;sectionid=1078&amp;imageid=45450&amp;pi=1&amp;previous=9&amp;prevpos=1077&amp;vpath=search\" target=\"_blank\" rel=\"noopener noreferrer\">here<\/a>.<p>Her short biography is posted <a href=\"http:\/\/www.travelwriting.amdigital.co.uk\/Contents\/Biographical.aspx?documentid=1077&amp;sectionid=1078&amp;imageid=45450&amp;pi=1&amp;previous=9&amp;prevpos=1077&amp;vpath=search&amp;searchmode=true\" target=\"_blank\" rel=\"noopener noreferrer\">here<\/a>."

IN,<p>Mary Adams Abbott's travel writing from India can be found <a href="http://www.travelwriting.amdigital.co.uk/contents/ImageViewerPage.aspx?imageid=28590&amp;pi=1&amp;previous=9&amp;prevpos=759&amp;vpath=search" target="_blank" rel="noopener noreferrer">here</a>.<p>Her short biography is posted <a href="http://www.travelwriting.amdigital.co.uk/Contents/Biographical.aspx?documentid=759&amp;sectionid=760&amp;imageid=28590&amp;pi=1&amp;previous=9&amp;prevpos=759&amp;vpath=search&amp;searchmode=true" target="_blank" rel="noopener noreferrer">here</a>.

IT,<p>Cornelia James Cannon's sketches from Italy can be found <a href="http://www.travelwriting.amdigital.co.uk/contents/ImageViewerPage.aspx?imageid=33296&amp;pi=1&amp;previous=9&amp;prevpos=837&amp;vpath=search" target="_blank" rel="noopener noreferrer">here</a>.<p>Her short biography is posted <a href="http://www.travelwriting.amdigital.co.uk/Contents/Biographical.aspx?documentid=837&amp;sectionid=838&amp;imageid=33296&amp;pi=1&amp;previous=9&amp;prevpos=837&amp;vpath=search&amp;searchmode=true" target="_blank" rel="noopener noreferrer">here</a>.

US,<p>Ida Maud Cannon's scrapbook from USA can be found <a href="http://www.travelwriting.amdigital.co.uk/contents/ImageViewerPage.aspx?documentid=815&amp;sectionid=816&amp;imageid=31788&amp;pi=1&amp;previous=0&amp;prevpos=815&amp;vpath=search" target="_blank" rel="noopener noreferrer">here</a>. Her short biography is posted <a href="http://www.travelwriting.amdigital.co.uk/Contents/Biographical.aspx?documentid=815&amp;sectionid=816&amp;imageid=31788&amp;pi=1&amp;previous=9&amp;prevpos=815&amp;vpath=search&amp;searchmode=true" target="_blank" rel="noopener noreferrer">here</a>.<p>Grace Seton-Thompson's photographs from USA can be found <a href="http://www.travelwriting.amdigital.co.uk/contents/ImageViewerPage.aspx?documentid=1081&amp;sectionid=1082&amp;imageid=45501&amp;pi=1&amp;previous=9&amp;prevpos=1081&amp;vpath=search" target="_blank" rel="noopener noreferrer">here</a>. Her short biography is posted <a href="http://www.travelwriting.amdigital.co.uk/Contents/Biographical.aspx?documentid=1081&amp;sectionid=1082&amp;imageid=45495&amp;pi=1&amp;previous=9&amp;prevpos=1081&amp;vpath=search&amp;searchmode=true" target="_blank" rel="noopener noreferrer">here</a>.<p>Sarah Anne Shurtleff's journals of a trip across USA can be found <a href="http://www.travelwriting.amdigital.co.uk/contents/ImageViewerPage.aspx?documentid=1153&amp;sectionid=1154&amp;imageid=48722&amp;pi=1&amp;previous=9&amp;prevpos=1153&amp;vpath=search" target="_blank" rel="noopener noreferrer">here</a> and <a href="http://www.travelwriting.amdigital.co.uk/contents/ImageViewerPage.aspx?documentid=1155&amp;sectionid=1156&amp;imageid=48887&amp;pi=1&amp;previous=9&amp;prevpos=1155&amp;vpath=search" target="_blank" rel="noopener noreferrer">here</a>.





