frequency,name,rank,topic
17,USA,1,accommodation
16,USA,2,rail
16,USA,3,climate
15,USA,4,road
13,USA,5,tourism
8,China,1,industry
7,China,2,housing
6,China,3,history
6,China,4,education
6,China,5,health and medicine
7,France,1,education
6,France,2,letters
5,France,3,entertainment
5,France,4,family life
4,France,5,shopping
5,Philippines,1,customs
5,Philippines,2,clothing
4,Philippines,3,housing
4,Philippines,4,education
4,Philippines,5,accommodation
4,India,1,travel writing
4,India,2,natural history
4,India,3,health and medicine
4,India,4,climate
3,India,5,diaries
3,Egypt,1,diaries
3,Egypt,2,work
3,Egypt,3,clothing
3,Egypt,4,art
3,Egypt,5,education
2,Italy,1,art
2,Italy,2,monuments
2,Italy,3,accommodation
2,Italy,4,tourism
2,Italy,5,ancient ruins
