frequency,name,rank,traveler
9,USA,1,"Shurtleff, Sarah Anne (Keegan)"
3,USA,2,"Agassiz, Elizabeth Cary"
3,USA,3,"Kitchelt, Florence Ledyard (Cross)"
2,USA,4,"De Pillis, Freda Mae (Rustemeyer)"
2,USA,5,"Seton-Thompson, Grace (Gallatin)"
1,USA,6,"Abbott, Mary Adams"
1,USA,7,"Allen, Annie Ware (Winsor)"
1,USA,8,"Brown, Tabitha Moffett"
1,USA,9,Cannon Family
1,USA,10,"Cannon, Cornelia James"
1,USA,11,"Eastman, Mary Reed"
1,USA,12,"Fay, Maria"
1,USA,13,"Fosdick, Lucy H"
1,USA,14,"Langer, Rowena (Morse)"
1,USA,15,"May, Elizabeth (Stone)"
1,USA,16,"Mckinnon, Edna Bertha (Rankin)"
1,USA,17,"Reeves, Mrs Edward H."
1,USA,18,"Schoedler, Lillian"
1,USA,19,"Thaxter, Rosamond"
1,USA,20,"Thayer, Ella Frances"
1,USA,21,"Walker, Sarah Ann"
10,China,1,"Pruitt, Ida"
1,China,2,"Mckinnon, Edna Bertha (Rankin)"
1,China,3,"Seton-Thompson, Grace (Gallatin)"
8,France,1,"Langer, Rowena (Morse)"
1,France,2,"Shurtleff, Sarah Anne (Keegan)"
2,Philippines,1,"Anglemyer, Philinda Parsons (Rand)"
1,Philippines,2,"Cannon, Cornelia James"
1,Philippines,3,"Seton-Thompson, Grace (Gallatin)"
1,India,1,"Abbott, Mary Adams"
1,India,2,"Code, Marion Osborne (Graves)"
3,Egypt,1,"Smith, Corinna Haven Lindon (Putnam)"
1,Egypt,2,"Seton-Thompson, Grace (Gallatin)"
2,Italy,1,"Cannon, Cornelia James"
1,Italy,2,"Kitchelt, Florence Ledyard (Cross)"
