Country,Date,Reference,Region,Summary,Title,Topics,Traveler
USA,1957,A-130 4,North America,"A copy of Appalachia which contains an article by Abbott ""Improbable Interlude"" (June 1957, pp357-371).","""Improbable Interlude,"" Appalachia 1957, June","travel writing, drawings, mounted treks, tourism, hunting, housing","Abbott, Mary Adams"
USA,1851-1852,"A-3, Box 2 folder 10",North America,"Letters written while accompanying her husband, Louis Agassiz (1807-1873), on a lecture tour of the South, with discussions of Dickens, Thackeray and literature, as well as of Southern society and hospitality and a perilous stagecoach journey in the wet.","Letters from South Carolina, New Orleans and Washington","letters, work, education, race, language, music, health, medicine, rail, inland waterways, science","Agassiz, Elizabeth Cary"
USA,"1867, 1868","A-3, Box 2 folder 17",North America,"Describing life in Cambridge, the publication of 'A Journey in Brazil', going to hear Dickens read from his books, and meeting General Sherman and General Sheridan in Washington.","Letters to Mrs. Cary, Sally and Emma while they were in Europe","letters, natural history, politics and diplomacy, music, science","Agassiz, Elizabeth Cary"
USA,c.1870,"A-3, Box 2 folder 18",North America,Describing brief excursions to Deerfield and New Hampshire.,"Letters from Deerfield, Massachusetts and the White Mountains, New Hampshire","letters, holiday, mountains, rail, walking, natural history","Agassiz, Elizabeth Cary"
USA,"1883, 1888, or 1894","MC 322 box 1, 6",North America,"Record of a Summer holiday in Maine, with a few illustrations",Incomplete summer diary,"diaries, rail, sea voyage, walking, entertainment","Allen, Annie Ware (Winsor)"
USA,1854-1858,A B881,North America,"Carbon copies of typed transcripts (annotated by the transcriber) of nine letters written by Tabitha Moffett Brown to her brother in Ohio, describing her trip to Oregon, the founding and early years of Pacific University, and life in Oregon's early white settlements. Brown describes in detail her journey to Oregon, including: her encounters with Native Americans, her experiences of travelling by wagon train, and the landscape of the plains.",Tabitha Brown Moffett Letters,"letters, food, religion, inland waterways, violence","Brown, Tabitha Moffett"
USA,1928,"MC 553, 8.2",North America,"Describing Glacier National Park (Montana), Nebraska, and Yellowstone Park.","Letters and Scrapbook of Cannon family auto trip, summer of 1928","road, natural wonders, spectacle, exploration, tourism, family life",Cannon Family
USA,May 8th 1917 - September 12th 1917,"MC 553, 12.2",North America,"Letters are from Cambridge, Massachusetts and Hudson to England and France. Correspondence regarding children, members of the family and friends including Ida Cannon who is leaving for Pittsburgh. Writes about everyday concerns including illness and sickness, travel to Hudson from Cambridge for a summer vacation, and general vacation activities such as camping and going to the beach.","Travel writings, 'Summer at Hudson, Wisconsin, 1917': Selections from the letters of Cornelia James Cannon to Walter Bradford Cannon, May - September 1917. Compiled for sister Helen James Sommers (1934).","family life, marriage, road, climate","Cannon, Cornelia James"
USA,September 26th 1949-September 21st 1950,"89-M116, 89-M176 box 2 item 21v",North America,Original diary of time spent studying at the University of Chicago.,"Original Journals, September 26th, 1949-September 21st, 1950","diaries, education, entertainment, accommodation, family life","De Pillis, Freda Mae (Rustemeyer)"
"Japan, China, USA, Russia",October 20th 1947-September 21st 1950,"89-M116, 89-M176 box 2 item 24","East Asia, North America, Russia","Transcripts of diaries covering her time in Tokyo from 1947-1949 and her first year at the University of Chicago, 1949-1950. Also included is an account of a visit to Shanghai.","Journal Transcriptions, October 20th, 1947 (cont'd)-September 21st, 1950","climate, entertainment, agriculture, shopping, festival, politics, music, sexual behaviour, education, diaries, work","De Pillis, Freda Mae (Rustemeyer)"
