Country,Date,Reference,Region,Summary,Title,Topics,Traveler
"Philippines",1901,86 M74 16,"North America, South East Asia","Letters (typescript) describing her voyage out and time spent in the Philippines teaching local people, 1901.",Typescript copies of letters,"letters, travel writing, work, drawings, sea voyage, housing, education, shopping, accommodation, food, religion, customs, language, climate, drink, clothing, health and medicine, agriculture, entertainment","Anglemyer, Philinda Parsons (Rand)"
Philippines,1902,87 M74 17,South East Asia,"Letters (typescript) describing her time spent in the Philippines teaching local people, 1902.",Typescript copies of letters,"letters, travel writing, work, drawings, housing, education, accommodation, food, religion, customs, climate, clothing, health and medicine, agriculture, entertainment, natural history, natural wonders, walking, mounted treks","Anglemyer, Philinda Parsons (Rand)"
Philippines,1903,88 M74 18,South East Asia,"Letters (typescript) describing her time spent in the Philippines teaching local people, 1903-1904.",Typescript copies of letters,"letters, travel writing, housing, work, education, accommodation, food, customs, climate, clothing, health and medicine, shopping, entertainment, natural wonders, walking, mounted treks, rail, language","Anglemyer, Philinda Parsons (Rand)"
Philippines,1949,"MC 553, 13.3",South East Asia,"An edited version of Cornelia's 'Travel writings, Philippines trip in 1949' (Reference: MC 553, 13.2). Cornelia begins her writings with a brief summary of her life up to this point and her past travels. With her husband deceased and her children grown-up she decides to travel around the islands of the Philippines alone, at the age of seventy two. She explains her motives for wanting to travel to the Philippines. Her writings feature lengthy comment and opinion on how the Philippines have changed since American and Japanese occupation. She spends time recalling the violent events of conflict and wars that makes up the Philippines past. She also focuses on public education, agriculture, the economy, and the local inhabitants. She travels around the area where the Igorot people live and she visits a leper colony on Cebu.","Travel writings, 'A Grandmother Visits the Philippines', n.d.","sea voyage, bus, air, politics, education, war, climate, violence, road, food, agriculture, housing, accommodation, missionaries, households, industry, language, religion, clothing, customs, architecture, health and medicine","Cannon, Cornelia James"
Philippines,"1928","M 133, 107",Sout East Asia,"Photographs of Grace Gallatin Seton-Thompson and Filipino people taken while travelling in the Philippines, 1928-1930.","Photographs, Philippines","tourism, photographs, clothing, customs, agriculture, natural wonders","Seton-Thompson, Grace (Gallatin)"
China,"1971","Mc 325 box 4 v65",East Asia,Letters from friends and from travel agency regarding a proposed trip to China.,China: details of a proposed group tour,"letters, tourism","Mckinnon, Edna Bertha (Rankin)"
China,"1959",MC 465 box 15 v311,East Asia,"Diary of time spent in Peking in August with descriptions of tourist sites. Also included are notes on factories, hospitals, communes, history and politics. Meetings with Rewi Alley are also recorded.","Diary August 4th-8th and notes on China, October 24th-29th","diaries, climate, housing, politics, history, entertainment, music, drink, food, customs, education, industry, religion, health and medicine, monuments, fuel and power","Pruitt, Ida"
China,"1959",MC 465 box 15 v312,East Asia,"Notes on China regarding education, health, history, and communes.","Notes on China, August 6th-16th","education, health and medicine, language, history, family life, industry, old age","Pruitt, Ida"
China,"1959",MC 465 box 15 v313,East Asia,"Notes on China regarding education, industry, art, politics, history and in particular the Red Star Commune near Peking.","Notes on China, August 20th-27th","agriculture, natural history, industry, art, politics, history","Pruitt, Ida"
China,"1959",MC 465 box 15 v314,East Asia,"Notes on China regarding education, street committees in Peking, prisons, agriculture.","Notes on China, August 29th-September 4th","housing, law enforcement, education, agriculture, natural history","Pruitt, Ida"
China,"1959",MC 465 box 15 v315,East Asia,"Notes on China regarding housing, agriculture, education, industry, communes, housing.","Notes on China, September 15th-21st","entertainment, housing, agriculture, industry, old age, health and medicine, housing","Pruitt, Ida"
China,1959,MC 465 box 16 316,East Asia,"Notes on China regarding history, family life, prisons, communes, Communist Party, agriculture, health, industry, education, customs, farming.","Notes on China, October 10th-15th 1959","history, family life, agriculture, health and medicine, monuments, industry, education, customs","Pruitt, Ida"
China,1959,MC 465 box 16 v317,East Asia,"Notes on China regarding communes, agriculture, education, housing, industry, health, temples, farming, history, politics.","Notes on China, October 16th-22nd 1959","history, agriculture, housing, industry, health and medicine, monuments, natural history, politics","Pruitt, Ida"
China,1971,MC 465 box 16 v336,East Asia,"Correspondence regarding a proposed visit to China. Also included are postcards, watercolours, bills, news cuttings.","Correspondence, 1971-1973, regarding a proposed visit to China","tourism, letters, drawings","Pruitt, Ida"
China,1972,MC 465 box 16 v338,East Asia,"Notebook of a visit to China, listing people seen and giving detailed notes on visits including: Peking Arts and Crafts Factory, Nan Yuan Commune, Pei Hai Kindergarten, School for Cadres, Ya Ju Chi Teacher Training College at Pei Pei, Norman Bethuane Memorial Hospital, Po Shan Pottery, Shanghai Normal University, a Hydro-Electric Station and a Deaf and Dumb School.","Notebook detailing a visit to China, October-November 1972","diaries, work, industry, agriculture, natural history, education, housing, health and medicine, history, religion, monuments, entertainment, rivers, politics, fuel and power","Pruitt, Ida"
China,1972,MC 465 box 16 v339,East Asia,"Loose items regarding China, including notes and addresses.",Loose items regarding China.,"work, industry, housing, education","Pruitt, Ida"
China,"1923","M 133, 108",East Asia,"Miscellaneous items re China including newspaper cuttings, business cards and passenger list.","Notes, China","money, sea voyage, tourism","Seton-Thompson, Grace (Gallatin)"
France,1906,A170 box 14 207v,Europe,"Volume III of this journal contains an account of Shurtleff's travels around France. Contents include visits to: Salons of the 17th and 18th centuries, Salons of the Restoration and Salons of the Empire. She also writes of the San Francisco earthquake of 1906. Attractions visited in Paris include: the Pantheon, Luxembourg Garden, the Louvre, Notre Dame, Petit Palace, Le Bon Marche, Champs-elysees, Tuileries Palace and the Latin quarter. Shurtleff also writes about the history of Napoleon Bonaparte's rule as Emperor. Throughout the journal there are numerous paste-ins and inserts of ephemera, such as picture cards, illustrating places they visited and the local people.","Journal of a Five Months Tour in Italy, France, England, Volume III","shopping, tourism, monuments, gardens, cities, architecture, art, accommodation, guidebooks, history, travel writing","Shurtleff, Sarah Anne (Keegan)"
France,1923,"MC 566,1.2",Europe,Documents belonging to Rowena Langer (Morse) while at university in Paris.,"Passport, identity card, French certificate, notebook, datebook, course of studies","education, diaries, entertainment, food, shopping, monuments","Langer, Rowena (Morse)"
